search_text,title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Building management software in australia or newzealand,Airmaster,https://www.airmaster.com.au/,Airmaster is an award-winning technical solutions company  delivering end-to-end management solutions for HVAC&R  smart building automation  fire and essential safety measures across Australia  New Zealand and South-East Asia._Airmaster is an award-winning technical solutions company  delivering end-to-end management solutions for heating  ventilation  air conditioning  refrigeration  smart building automation  fire and essential safety measures across Australia  New Zealand and South East Asia.,airmaster,"['52 Rocco Dr Scoresby, VICTORIA, 3179 Australia', 'https://www.dnb.com/business-directory/company-profiles.airmaster_australia_pty_ltd.eb32264cc6a841f4.html']","['watertreatment@airmaster.com.au', 'https://www.airmaster.com.au/post/nsw-introduces-mandatory-monthly-testing-for-all-cooling-towers-from-2018']","['+613 9837 8333', 'https://www.airmaster.com.au/post/airmaster-to-participate-in-the-ultimate-treadmill-challenge']","['airmaster australia', 'airmaster projects', 'airmaster fire', 'airmaster customers', 'airmaster operations', 'airmaster staff', 'building services', 'building services management', 'airmaster state manager', 'airmaster fire clients']","[['Alistair McDonald', 'Managing_Director'], 'https://www.airmaster.com.au/post/airmaster-and-daikin-join-forces']","['IT - Software, Manufacturing', 'from_classification_model']","['10 October 2008', 'https://opencorporates.com/companies/au/133652749']","['$84.17 million USD', 'https://www.dnb.com/business-directory/company-profiles.airmaster_australia_pty_ltd.eb32264cc6a841f4.html']",None,"['Australia', 'https://opencorporates.com/companies/au/133652749']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.airmaster_australia_pty_ltd.eb32264cc6a841f4.html']",0.375,0.25,0.375,0.0,0.25
Infrastructure management software in australia or newzealand,Hewlett Packard Enterprise (HPE),https://www.hpe.com/us/en/home.html,From HPE’s new high-end storage platform to driving the next wave of the Intelligent Edge and cloud choices  HPE delivers  and now HPE plans to deliver everything-as-a-service by 2022. Catch the excitement at HPE.,hpe,None,"['jennifer.miu@hpe.com', 'https://www.hpe.com/us/en/newsroom/press-release/2020/09/hpe-completes-acquisition-of-sd-wan-leader-silver-peak.html']","['+61406 88 75 27', 'https://www.hpe.com/se/sv/resources/integrated-systems/ilo-advanced-trial.html?parentPage=/us/en/products/compute']","['hpe synergy hpe', 'hpe edgeline hpe', 'hpe edgeline hpe servers', 'hpe superdome flex hpe', 'cloud de hpe', 'tecnológica de hpe', 'hpe san jose headquarters hpe', 'hpe datacenter care service hpe greenlake cloud services', 'hpe ezmeral data fabric new hpe', 'hpe']","[['Antonio Neri', 'CEO'], 'https://www.hpe.com/au/en/leadership-bios/antonio-neri.html']","['IT - Software, Finance and insurance', 'from_classification_model']",None,None,None,None,"['61,600', 'None']",None,0.0,0.25,0.0,0.0,0.0625
Building management software in australia or newzealand,Palace - Web-based Property Management Software,https://www.getpalace.com/,Web-based software that grows your property management business.,getpalace,"['Unit 3b 331 Rosedale Road Albany Auckland, AUCKLAND, 0632 New Zealand', 'https://www.dnb.com/business-directory/company-profiles.palace_limited.cc82ecf224ebfa641de38216707266f7.html']","['sara.pesic@valocityglobal.com', 'https://www.getpalace.com/nz/news/valocity-nz-property-technology-and-data-platform-announces-new-partnership-with-palace/']","['1800 446 180', 'https://www.getpalace.com/']","['palace team', 'palace software', 'largest property management software company palace', 'palace liquid', 'property data', 'palace liquid webinars issue', 'palace video', 'palace ceo', 'palace live', 'initial palace']","[['MAT ELLIN', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.palace_limited.cc82ecf224ebfa641de38216707266f7.html']","['Real estate, IT - Software', 'from_classification_model']",None,"['$1.84 million USD', 'https://www.dnb.com/business-directory/company-profiles.palace_limited.cc82ecf224ebfa641de38216707266f7.html']",None,None,None,"['Limited\xa0Company Independent', 'https://www.dnb.com/business-directory/company-profiles.palace_limited.cc82ecf224ebfa641de38216707266f7.html']",0.75,0.25,0.0,0.0,0.25
Infrastructure management software in australia or newzealand,Ventia | Making Infrastructure Work For Communities,https://www.ventia.com/,Ventia is one of the largest essential services providers in Australia and New Zealand. We are proud to provide the services that keep infrastructure working for our communities.,ventia,"['L 4 Tower 1 495 Victoria Ave Chatswood, NEW SOUTH WALES, 2067 Australia', 'https://www.dnb.com/business-directory/company-profiles.ventia_pty_limited.a042f7d2f19cd8f2.html']","['info@visionstream.com.au', 'https://www.crunchbase.com/organization/visionstream-pty-ltd']","['1300 836 827', 'https://www.ventia.com/contact']","['infrastructure work', 'internet explorer', 'recommended pages', 'latest news', 'accounts enquiries', 'infrastructure', 'enquiry', 'conduct', 'critical public and private assets', 'people']","[['David Moffatt', 'CEO'], 'https://www.ventia.com/who-we-are/executive-team']","[['Information TechnologyReal EstateTelecommunications'], 'https://www.crunchbase.com/organization/visionstream-pty-ltd']","['1994', 'https://www.crunchbase.com/organization/visionstream-pty-ltd']","['$1.53 billion USD', 'https://www.dnb.com/business-directory/company-profiles.ventia_pty_limited.a042f7d2f19cd8f2.html']",None,"[' Bentleigh East, Victoria, Australia', 'https://www.crunchbase.com/organization/visionstream-pty-ltd']",None,"['Private', 'https://www.crunchbase.com/organization/visionstream-pty-ltd']",0.0,0.25,0.375,0.0,0.15625
Infrastructure management software in australia or newzealand,SolarWinds: IT Management Software & Remote Monitoring ...,https://www.solarwinds.com/,SolarWinds IT monitoring and management tools are built for SysAdmins and network engineers who need powerful and affordable tools. Get a free trial today.,solarwinds,"['L9 15 Blue St North Sydney, New South Wales, 2060 Australia', 'https://app.avention.com/company/af33e5e6-1bcf-33fd-ab82-5c9d77bd205b#report/company_summary']","['sales@solarwinds.com', 'https://www.solarwinds.com/pt/database-performance-analyzer/use-cases/rds-monitoring']","['+61 2 8412 4910', 'https://www.solarwinds.com/server-configuration-monitor']",None,"[['CEO Kevin Thompson', 'CEO'], 'https://www.crn.com.au/news/solarwinds-ceo-kevin-thompson-answers-eight-questions-about-a-possible-spin-off-of-solarwinds-msp-551473']","['Computer System Design Services', 'https://app.avention.com/company/af33e5e6-1bcf-33fd-ab82-5c9d77bd205b#report/company_summary']",None,"['6.3M', 'https://app.avention.com/company/af33e5e6-1bcf-33fd-ab82-5c9d77bd205b#report/company_summary']",None,None,"['20', 'https://app.avention.com/company/af33e5e6-1bcf-33fd-ab82-5c9d77bd205b#report/company_summary']","['Private Subsidiary', 'https://app.avention.com/company/af33e5e6-1bcf-33fd-ab82-5c9d77bd205b#report/company_summary']",0.0,0.25,0.0,0.0,0.0625
Building management software in australia or newzealand,Thomson Reuters Legal Australia: Law Books | Legal Solutions,https://legal.thomsonreuters.com.au/,We deliver law products and legal solutions including law books  textbooks  Westlaw AU  practice management and legal research. Free Shipping. 15% student discount.,legal.thomsonreuters,"['L 6 19 Harris St Pyrmont, NEW SOUTH WALES, 2009 Australia', 'https://www.dnb.com/business-directory/company-profiles.thomson_reuters_%28australia%29_pty_ltd.9c3520f3c7d7e68180b0cda10b245099.html']",None,"['+612 8587 7980', 'https://support.thomsonreuters.com.au/contactpage/contact-us']","['australian succession law esubscription property law', 'high court practice federal administrative law commonwealth law', 'environmental responsibilities law nsw land titles law', 'criminal law nsw', 'evidence law chapter', 'australian succession law victorian administrative law looseleaf', 'criminal law', 'victoria springvale legal centre practical law australia commonwealth law', 'law', 'criminal law journal']","[['WAYNE ANDREWS', 'Auditor'], 'https://www.dnb.com/business-directory/company-profiles.thomson_reuters_%28australia%29_pty_ltd.9c3520f3c7d7e68180b0cda10b245099.html']","['Real estate, IT - Software', 'from_classification_model']",None,"['$150.71 million USD', 'https://www.dnb.com/business-directory/company-profiles.thomson_reuters_%28australia%29_pty_ltd.9c3520f3c7d7e68180b0cda10b245099.html']",None,None,None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.thomson_reuters_%28australia%29_pty_ltd.9c3520f3c7d7e68180b0cda10b245099.html']",0.0,0.25,0.0,0.0,0.0625
Infrastructure maintenance software in australia or newzealand,Datacom: Home,https://www.datacomgroup.net/,Datacom designs  builds and runs IT systems and process for business.,datacomgroup.net,"['L 10 68 Jervois Quay Wellington Central Wellington, WELLINGTON, 6011 New Zealand', 'https://www.dnb.com/business-directory/company-profiles.datacom_group_limited.e71e65415779dae648723636310577a4.html']","['info@datacom.com.au', 'https://www.crunchbase.com/organization/datacom']","['+64 4 460 1500', 'https://www.datacomgroup.net/Contact/Wellington.aspx']","['datacom services', 'datacom group gdpr statement datacom', 'datacom customers', 'datacom', 'datacom staff', 'ko datacom te', 'datacom technical teams', 'datacom integration teams', 'datacom partners', 'datacom employees']","[['Greg Davidson', 'CEO'], 'http://datacomgroup.net/About-Us/Our-News/Datacom-Group-Leadership-Appointments-and-New-Orga.aspx']","[['AppsInformation Technology'], 'https://www.crunchbase.com/organization/datacom']","['1965', 'https://www.crunchbase.com/organization/datacom']","['$882.41 million USD', 'https://www.dnb.com/business-directory/company-profiles.datacom_group_limited.e71e65415779dae648723636310577a4.html']",None,"[' Wellington, Wellington, New Zealand', 'https://www.crunchbase.com/organization/datacom']",None,"['Private', 'https://www.crunchbase.com/organization/datacom']",0.75,0.25,0.375,0.0,0.34375
Building management software in australia or newzealand,Johnson Controls,https://www.johnsoncontrols.com/,Johnson Controls focuses on efficiency  controls  and automation to make your world more sustainable. See how we do it!,johnsoncontrols,"['SYDNEY2000New South WalesAustralia', 'https://opencorporates.com/companies/au/160811147']","['ustomercare@jci.com', 'https://www.johnsoncontrols.com/en_in/campaign/reopen-buildings/reoccupy-buildings']","['+6102) 9805 8300', ['Johnson Controls, Inc, phone', 'knowledge_panel']]","['johnson controls johnson controls', 'johnson controls solutions', 'johnson controls core building systems', 'johnson controls des systems', 'johnson controls expert', 'johnson controls experience', 'johnson controls singapore', 'johnson controls openblue', 'johnson controls openblue technology', 'johnson controls india']","[['Frances Cebalo ', 'HR Manager_ NZ_Johnson ...'], 'from linkedin search google']","['IT - Software, Manufacturing', 'from_classification_model']","['17 October 2012', 'https://opencorporates.com/companies/au/160811147']",None,None,"['Australia', 'https://opencorporates.com/companies/au/160811147']",None,"['Australian Proprietary Company, Limited By Shares', 'https://opencorporates.com/companies/au/160811147']",0.0,0.0,0.0,0.0,0.0
Asset maintenance software in australia or newzealand,Welcome to SoftwareONE | Empowering Companies to ...,https://www.softwareone.com/,SoftwareONE helps clients govern and manage software estate – be it licensing optimization  procuring effectively  or deploying a cloud-based solution._In 2019 SoftwareONE and COMPAREX merged to form the leading global platform  solution and services organization.,softwareone,"['76 -80 Clarence Street NSW 2000', 'https://www.softwareone.com/en-au/about/locations']","['panthea.derks@softwareone.com', 'https://www.softwareone.com/de-ch/presse']","['+61 2 8229 0000', 'https://www.softwareone.com/en-au/about/privacy-center/privacy-statement']","['microsoft cloud services', 'microsoft cloud offerings', 'managed cloud de softwareone', 'microsoft cloud business', 'cloud services', 'managed cloud', 'der microsoft portal support von softwareone', 'cloud security', 'microsoft office', 'pyracloud cloud spend management']","[['Aman Bhandari', 'Managing_Director'], 'https://au.linkedin.com/in/amanbhandari']","['Computer, Office Equipment and Software Merchant Wholesalers', 'https://app.avention.com/company/0eb35dfb-eb9d-30cc-807b-1f29a2d2919d#report/company_summary']",None,"['127M', 'https://app.avention.com/company/0eb35dfb-eb9d-30cc-807b-1f29a2d2919d#report/company_summary']",None,None,"['31', 'https://app.avention.com/company/0eb35dfb-eb9d-30cc-807b-1f29a2d2919d#report/company_summary']","['Private Subsidiary', 'https://app.avention.com/company/0eb35dfb-eb9d-30cc-807b-1f29a2d2919d#report/company_summary']",0.25,0.25,0.375,0.0,0.21875
Equipment maintenance software in australia or newzealand,Hitachi Australia,https://www.hitachi.com.au/,Hitachi offers a wide range of products and services in the region  including but not restricted to Construction Machines and Commercial Vehicles  Data Storage Systems  Home appliances  Digital Presentation Systems  Train Components & Equipment  Social Infrastructure  Industrial Equipment,hitachi,"['2 /74 Mason Street Campbellfield VIC 3061', 'https://www.hitachi.com.au/products/support/sales-dealers.html']","['admin@surepower.com.au', 'https://www.hitachi.com.au/products/support/sales-dealers.html']","['+61 (2) 4926 8200', 'https://www.hitachi.com.au/about/oceania-directory.html']","['hitachi group hitachi australia', 'hitachi solutions', 'system hitachi', 'hitachi australia', 'hitachi products', 'hitachi vantara hitachi proton beam therapy system', 'bradken july hitachi consulting australia hitachi agriculture solutions', 'hitachi data', 'hitachi rail', 'hitachi ltd.']","[['Derrick Thompson ', 'Senior Manager_Hitachi Australia Pty Ltd ...'], 'from linkedin search google']","['Manufacturing, Utilities', 'from_classification_model']","[' 5 April 2019', 'https://opencorporates.com/companies/au/632744275']",None,None,"['Australia', 'https://opencorporates.com/companies/au/632744275']",None,"['Australian Proprietary Company, Limited By Shares', 'https://opencorporates.com/companies/au/632744275']",0.25,0.25,0.0,0.0,0.125
Infrastructure maintenance software in australia or newzealand,Innovyze – Empowering Water Experts,https://www.innovyze.com/en-us,Plan  design  model  and manage water  wastewater  and water processes with our industry-leading software.,innovyze,"['Suite 38 75 Wharf Street Tweed Heads, NSW 2485', 'https://www.innovyze.com/en-us/contact']","['franciane.wertz@inneautech.com', 'https://www.innovyze.com/en-us/contact']","['+61 (0) 7 5506 5700', 'https://www.innovyze.com/en-us/news-insights/innovyze-welcomes-tech-leader-as-chief-revenue-officer']","['water management software systems', 'water system management', 'water assets', 'water systems', 'real water systems', 'water treatment assets', 'mining water management performance', 'water distribution systems', 'water infrastructure software', 'large water assets']","[['Colby Manwaring', 'CEO'], 'https://www.linkedin.com/in/colby-manwaring-045146a']","['IT - Software, Finance and insurance', 'from_classification_model']",None,"['$5.37 million USD', 'https://www.dnb.com/business-directory/company-profiles.innovyze_pty_limited.05460c7736dde47e910ec1b8d5a875c7.html']",None,None,None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.innovyze_pty_limited.05460c7736dde47e910ec1b8d5a875c7.html']",1.0,0.25,0.375,0.0,0.40625
Asset maintenance software in australia or newzealand,Smartrak | Enterprise Fleet_ Safety_ and Mobility Solutions,https://smartrak.com/,"Cutting-edge fleet and mobility management software. Maximise productivity and safety across your organisation through data-led insights._Cutting-edge fleet and mobility management software. Maximise productivity and safety across your organisation through data-led insights._Mobility and car sharing software View Mobility    
Fleet tracking and management software View Fleet Management      

Unlock a smarter fleet using technology 
No matter whether you're looking to make your fleet more efficient  improve it's mobility  or",smartrak,"['Level  9 , 372 Albert Street,  East Melbourne, VIC 3002', 'https://smartrak.com/']","['info@smartrak.com', 'https://www.crunchbase.com/organization/smartrak']","['+6103) 9600 0477', ['Smartrak, phone', 'knowledge_panel']]","['fleet vehicle', 'fleet vehicle keys', 'company fleet vehicles', 'fleet vehicle reductions', 'vehicle fleet clarity', 'corporate vehicle fleets', 'fleet management solutions', 'vehicle management', 'vehicle key management', 'fleet management system']","[['Peter Grant', 'CEO'], 'https://nz.linkedin.com/in/petergrantnz']","[['GPSLocation Based Services'], 'https://www.crunchbase.com/organization/smartrak']","['2006', 'https://www.crunchbase.com/organization/smartrak']",None,None,"[' Carlton, Victoria, Australia', 'https://www.crunchbase.com/organization/smartrak']",None,"['Private', 'https://www.crunchbase.com/organization/smartrak']",0.25,0.0,0.375,0.0,0.15625
Building management software in australia or newzealand,Property Suite Pty Ltd | Real Estate Software_ CRM_ xero ...,https://www.propertysuite.com.au/,Real estate software CRM Cloud based for New Zealand and Australia,propertysuite,"['40 College Hill, Freemans Bay, Auckland1011NZ', 'https://opencorporates.com/companies/nz/5725381']","['info@propertysuite.co.nz', 'https://www.crunchbase.com/organization/property-suite']","['0800 780 000', 'https://www.crunchbase.com/organization/property-suite']","['user personal information', 'transfer user personal information', 'user information', 'information users', 'other users', 'other information', 'other written information', 'information', 'propertysuite web', 'statistical information']","[['Garry Kenneth STARK', ' director'], 'https://opencorporates.com/companies/nz/5725381']","[['MarketingReal EstateSoftware'], 'https://www.crunchbase.com/organization/property-suite']","['2007', 'https://www.crunchbase.com/organization/property-suite']","['$260,220 USD', 'https://www.dnb.com/business-directory/company-profiles.property_suite_australia_pty_ltd.98a9ff1eb5fdc8067e9d646d17807189.html']",None,"[' Auckland, Auckland, New Zealand', 'https://www.crunchbase.com/organization/property-suite']",None,"['Private', 'https://www.crunchbase.com/organization/property-suite']",0.375,0.25,0.0,0.0,0.15625
Equipment maintenance software in australia or newzealand,Predictive Maintenance Solutions | Dingo,https://www.dingo.com/,The world's leading provider of predictive maintenance software. Find out how DINGO has helped global enterprises save millions in maintenance costs.,dingo,"['16 Macgregor Street Wilston QLD 4051 Australia', 'https://www.dingo.com/company/support']","['katherine.rellos@au.ey.com', 'http://www.dingo.com/company/press/queensland%E2%80%99s-ey-entrepreneur-of-the-year%E2%84%A2-regional']","['+61 411 245099', 'http://www.dingo.com/company/press/queensland%E2%80%99s-ey-entrepreneur-of-the-year%E2%84%A2-regional']","['dingo predictive maintenance software', 'global predictive maintenance leader dingo', 'dingo trakka', 'dingo mining', 'use dingo', 'dingo software', 'dingo customers', 'costs dingo', 'preventive maintenance data', 'dingo australia']","[['Rohan May', 'CEO'], 'https://au.linkedin.com/in/rohan-may-877842b']","['IT - Software, Mining, oil and gas', 'from_classification_model']","['24 March 2020', 'https://opencorporates.com/companies/au/639943632']","['$3.98 million USD', 'https://www.dnb.com/business-directory/company-profiles.dingo_software_pty_ltd.fac492f4be475ed8.html']",None,"['Australia', 'https://opencorporates.com/companies/au/639943632']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.dingo_software_pty_ltd.fac492f4be475ed8.html']",0.625,0.25,0.0,0.0,0.21875
Infrastructure management software in australia or newzealand,IT Brief Australia - Technology news for Australia's largest ...,https://itbrief.com.au/,IT Brief is a live news website and weekly email newsletter dedicated to IT Managers & CIO's at large enterprise and government organisations throughout Australia. Typically 200 + seat organisations with an IT department.,itbrief,"['Po Box 47 -318, Ponsonby, Auckland 1144 New Zealand', 'https://itbrief.com.au/our-terms']","['info@techday.com', 'https://www.crunchbase.com/organization/techday']","['+61 2 9060 6405', 'https://www.hyland.com/en-AU/explore/gartner-magic-quadrant-for-content-services-platforms']","['businesses technology', 'strong technology services company', 'ai technologies', 'new business models', 'new business requirements', 'internal business organisations', 'new technologies', 'digital business', 'customer service', 'business applications']","[['Sarah McCann-Bartlett', 'CEO'], 'https://itbrief.com.au/story/new-chief-executive-named-for-australian-hr-institute']","[['News'], 'https://www.crunchbase.com/organization/techday']","['Jul 2006', 'https://www.crunchbase.com/organization/techday']",None,None,"[' Ponsonby, Auckland, New Zealand', 'https://www.crunchbase.com/organization/techday']",None,"['Private', 'https://www.crunchbase.com/organization/techday']",0.25,0.25,0.0,0.0,0.125
Infrastructure management software in australia or newzealand,AZSLIDE.COM: Download PDF Documents Professional ...,https://azslide.com/,Publishing resources to help & inspire you at every stage. Write a book  elevate your profile  build a business. Upload ideas and beginner tips to get you started,azslide,"['202 Westlake Ave. North Seattle WA 9810', 'https://silo.tips/download/don-appleton-senior-engineering-manager-harris-rf-communications-1909-baird-rd-p']",None,"['+6420000642', 'https://silo.tips/download/regulamin-konkursu-dla-studentow-magisterka-z-edf']","['concurso de determinación de tipo de bienes del gobierno de canarias memoria justificativa', 'de produção de texto', 'la comisión de procesos de contratación administrativa de servicios', 'presentación de la propuesta de la', 'de macroeconomía la oferta de', 'de planta jovem e de planta', 'integral de la situación de la infancia', 'brusone de genótipos de trigo comum', 'presentación de la propuesta de la universitatde barcelona', 'de la']",None,"['Healthcare, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Infrastructure maintenance software in australia or newzealand,NEXION Networks: Cloud | Security | Networking | Data Centre,https://www.nexionnetworks.com/,Global Cloud  Security  Networking & Data Centre Company. Experience in full end-to-end ICT Solutions. Hybrid  Public & Private Cloud. Call us today!,nexionnetworks,"['37 -39 Robinson Avenue (Cnr Robinson & Francisco St), Belmont, WA 6104 Australia', 'https://www.nexionnetworks.com/contact/']","['servicedesk@nexionnetworks.com', 'https://www.nexionnetworks.com/fortinet-network-security-threat-map/']","['+61 8 9441 4835', 'https://www.nexionnetworks.com/contact/']","['leading nexion networks data solution', 'customer nexion networks', 'adelaide nexion networks', 'nexion networks failure', 'nexion networks suppliers', 'saas nexion networks', 'nexion networks signed', 'nexion networks liability', 'nexion networks top', 'payments nexion networks']","[['Paul Glass', 'CEO'], 'https://au.linkedin.com/in/paul-glass-041a9920']","['IT - Software, Finance and insurance', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Equipment maintenance software in australia or newzealand,AM-Win Software,http://www.am-win.com.au/default,Tailor made software for a wide range of different workshop based indusries including Automotive  auto electricians  truck  bus and forklift  machinery marine and power equipment  4wd  motorcycle  spare parts  aircraft maintenance  solar and hot water  LPG autogas  and rebulders and remanufacturers software.,am-win,"[""Suite  4 -7, 204 Queen Street, St Mary's New South Wales 2760"", 'http://www.am-win.com.au/contact_amwinse']","['sales@am-win.com.au', 'http://www.am-win.com.au/contact_queensland']","['+61 7 3050 5655', 'http://www.am-win.com.au/contact_queensland']","['added customer order number', 'added job items', 'customer orders payment window', 'order order', 'added new job card format', 'added option', 'purchase order screen', 'supplier orders nad customer', 'customer orders pricing', 'customer report']","[['Fiona Johnston', 'CEO'], 'https://www.adnews.com.au/news/um-s-fiona-johnston-wins-media-executive-of-the-year-at-ceo-awards']","['Finance and insurance, IT - Software', 'from_classification_model']",None,None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/amwin-management']",None,None,0.25,0.25,0.0,0.0,0.125
Asset maintenance software in australia or newzealand,Aventri | Event & Meeting Management Technology,https://www.aventri.com/,Aventri's event management technology has helped thousands of brands globally transform the way they plan and execute meetings and events while tracking and improving their business objectives. Aventri's platform offers every aspect of event management you could need. Learn more!,eiseverywhere,"['Suite  5 .02, 77 Pacific Highway North Sydney NSW 2060 Australia', 'https://www.aventri.com/contact']","['support@aventri.com', 'https://www.aventri.com/contact']","['+61-2-8213-4258', 'https://www.aventri.com/contact']","['virtual events event', 'beautiful emails event email marketing event', 'attendees event check', 'virtual events aventri', 'event marketing', 'events planners', 'event app companies', 'event registration', 'event sessions', 'event information']","[['Alex Byrnes ', 'Event Coordinator_Kangan Institute'], 'from linkedin search google']","['IT - Software, Utilities', 'from_classification_model']","['2011', 'None']",None,None,None,"['90', 'None']",None,0.25,0.25,0.0,0.0,0.125
NDIS software in australia or newzealand,Civica US homepage | Civica,https://www.civica.com/,Civica are a global IT-based services partner in digital solutions  software applications  and managed services.,civica,None,"['compliance@civica.co.uk', 'https://www.civica.com/en-au/civica-election-services-privacy-policy/']","['+61 2 8324 3000', 'https://www.civica.com/en-au/']","['civica northstar civica', 'civica election services civica', 'digital services customer service business process services', 'government digital services', 'public cloud services', 'public service organisations', 'improved customer services', 'deliver civica', 'field service management civica group limited', 'civica customers']","[['Ben Cowling', 'Managing_Director'], 'https://www.civica.com/en-au/container---news-library/civica-broadens-management-team-and-invests-for-growth-in-apac/']","['IT - Software, Finance and insurance', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
Care management software in australia or newzealand,Medical Solutions - Siemens Healthineers Global,https://www.siemens-healthineers.com/,Siemens Healthineers enables healthcare providers to increase value by expanding precision medicine  transforming care delivery  improving patient experience  and digitalizing healthcare.,siemens-healthineers,None,"['issen@siemens-healthineers.com', 'https://www.siemens-healthineers.com/press-room/press-releases/covid-19-cdc.html']","['+642-06199029', 'https://www.siemens-healthineers.com/radiography/mobile-x-ray/mobilett-elara-max']","['siemens healthineers systems', 'siemens healthineers antibody', 'siemens healthineers customers', 'siemens healthineers websites', 'siemens healthineers services', 'siemens healthineers ftd', 'siemens healthineers website', 'rax siemens healthineers', 'siemens healthineers contents', 'siemens healthineers cookies']","[['Michael Shaw', 'Managing_Director'], 'https://au.linkedin.com/in/michael-shaw-bb712158']","['IT - Software, Agriculture', 'from_classification_model']",None,None,None,None,None,None,1.0,0.25,0.75,0.0,0.5
Hazard management companies in australia or newzealand,Ramboll,https://ramboll.com/,Ramboll is a leading engineering  architecture and consultancy company founded in Denmark in 1945. Ramboll employs 16 500 people globally and has especially strong representation in the Nordics  UK  North America  Continental Europe  Middle East and Asia-Pacific.,ramboll,"['50 Glebe Rd, The Junction NSW 2291', ['Ramboll Australia Pty Ltd, address', 'knowledge_panel']]","['ramboll.129@pdf.basware.com', 'https://se.ramboll.com/kontakt/leverantorsinformation']",None,"['ramboll ramboll', 'building services design', 'new buildings', 'ramboll project managers', 'proposed building services design', 'future building projects', 'tall building design', 'ramboll engineering', 'several new buildings', 'services building services']","[['Brian Bell', 'CEO'], 'https://au.linkedin.com/in/brian-bell-22a18021']","['Construction, Manufacturing', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Asset and fleet management software in australia or newzealand,EROAD Fleet Management Solutions,https://www.eroad.com.au/,EROAD’s driver facing telematics enables fleet managers and drivers to improve safety  streamline business operations and improve profitability for your trucks  utes and assets.,eroad,"['260 Oteha Valley Road , Albany Auckland, 0632 New Zealand ', 'https://app.avention.com/company/e6316db4-81b6-3d92-b2c3-4eae38ff17ea#report/company_summary']","['sales@eroad.co.nz', 'https://www.crunchbase.com/organization/eroad']","['+61 438 895 366', 'https://www.eroad.com.au/contact/']","['vehicle fleets', 'eroad study eroad', 'eroad guide eroad', 'efficient vehicle fleet management', 'commercial vehicle fleets', 'eroad fleet tracking', 'improved customer service eroad guide eroad', 'vehicle telematics', 'vehicle safety', 'eroad helping organisations']","[['Steven Newman', 'CEO'], 'https://www.eroad.co.nz/nz/why-eroad/our-story/']","[['Information ServicesInformation Technology'], 'https://www.crunchbase.com/organization/eroad']","['2000', 'https://www.crunchbase.com/organization/eroad']","['41M', 'https://app.avention.com/company/e6316db4-81b6-3d92-b2c3-4eae38ff17ea#report/company_summary']",None,"[' North Shore, Auckland, New Zealand', 'https://www.crunchbase.com/organization/eroad']","['207', 'https://app.avention.com/company/e6316db4-81b6-3d92-b2c3-4eae38ff17ea#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/eroad']",0.0,0.25,0.375,0.0,0.15625
Equipment maintenance software in australia or newzealand,Pest Control Rockingham | Pest Management Company ...,https://www.rockypest.com.au/,Make your home and surroundings pest-free by getting in touch with leading experts for pest control in Rockingham  WA. Call us on (08)95922566 and get in touch with the best pest management company in Rockingham.,rockypest,"['U 3 4 Cort Way Rockingham, Western Australia, 6168 Australia', 'https://app.avention.com/company/b5dfaae6-f6cd-382d-86e1-56de924d39fd#report/company_summary']","['hello@adapptor.com.au', 'https://www.crunchbase.com/organization/adapptor']","['+61-895922566', 'https://www.dnb.com/business-directory/company-profiles.rockypest_pty_ltd.098080b706057e38dc3757c142c9adbc.html']","['many other insect pests', 'many other pests', 'other insect pests', 'other timber pests', 'other pests', 'home pest infestations', 'home pests', 'many pests', 'many common pests', 'many other foods']","[['Robert Luckens', 'founder'], 'https://www.rockypest.com.au/general/members-of-australian-environmental-pest-managers-association-aepma/']","[['Mobile Apps'], 'https://www.crunchbase.com/organization/adapptor']","['Nov 1, 2010', 'https://www.crunchbase.com/organization/adapptor']","['275k', 'https://app.avention.com/company/b5dfaae6-f6cd-382d-86e1-56de924d39fd#report/company_summary']",None,"[' Perth, Western Australia, Australia', 'https://www.crunchbase.com/organization/adapptor']","['4', 'https://app.avention.com/company/b5dfaae6-f6cd-382d-86e1-56de924d39fd#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/adapptor']",0.375,0.25,0.5,0.0,0.28125
